date,match_id,p1_name,p2_name,bet_on,bet_amount,is_win,actual_winner,p1_prob,p2_prob,p1_odds,p2_odds,pnl,balance,fav_prob,fav_won,prob_bucket
2025-01-06,55354,Denis Shapovalov,Zhizhen Zhang,,0.0,False,P1,0.5626131892204285,0.4373868107795715,1.66,2.35,0.0,1000.0,0.5626131892204285,1.0,55-60%
2025-01-06,55381,Nuno Borges,Luciano Darderi,P2,5.065775749295256,False,P1,0.6133878231048584,0.3866121768951416,1.4,3.15,-5.065775749295256,994.9342242507048,0.6133878231048584,1.0,60-65%
2025-01-06,55382,Roberto Carballes Baena,Daniel Altmaier,,0.0,False,P1,0.7176153510808945,0.2823846489191055,1.3,3.5,0.0,994.9342242507048,0.7176153510808945,1.0,70-75%
2025-01-06,55355,Alejandro Davidovich Fokina,Roberto Bautista Agut,,0.0,False,P1,0.5015677213668823,0.4984322786331177,1.81,2.09,0.0,994.9342242507048,0.5015677213668823,1.0,50-55%
2025-01-06,55383,Zizou Bergs,Isaac Becroft,P2,4.855788367911047,False,P1,0.8638260960578918,0.1361739039421081,1.03,23.4,-4.855788367911047,990.0784358827938,0.8638260960578918,1.0,85-90%
2025-01-06,55356,Christopher O'Connell,Arthur Rinderknech,P2,7.356879035857748,False,P1,0.49957475066185,0.50042524933815,1.63,2.42,-7.356879035857748,982.721556846936,0.50042524933815,0.0,50-55%
2025-01-06,55357,Thanasi Kokkinakis,Yoshihito Nishioka,P2,13.83567298464669,False,P1,0.4060642123222351,0.5939357876777649,1.68,2.3,-13.83567298464669,968.8858838622892,0.5939357876777649,0.0,55-60%
2025-01-06,55384,Alex Michelsen,Sumit Nagal,,0.0,False,P1,0.8345860242843628,0.1654139757156372,1.24,4.53,0.0,968.8858838622892,0.8345860242843628,1.0,80-85%
2025-01-06,55385,Mariano Navone,Adrian Mannarino,P1,9.882097551547874,True,P1,0.5223933309316635,0.4776066690683365,2.5,1.59,14.823146327321812,983.7090301896112,0.5223933309316635,1.0,50-55%
2025-01-06,55358,Li Tu,James Duckworth,,0.0,False,P1,0.4518975466489792,0.5481024533510208,2.25,1.71,0.0,983.7090301896112,0.5481024533510208,0.0,50-55%
2025-01-06,55386,Luca Nardi,Flavio Cobolli,P2,19.674180603792223,False,P1,0.1452348604798317,0.8547651395201683,2.71,1.52,-19.674180603792223,964.034849585819,0.8547651395201683,0.0,85-90%
2025-01-06,55359,Manuel Guinard,Roman Safiullin,,0.0,False,P1,0.1851557046175003,0.8148442953824997,5.02,1.21,0.0,964.034849585819,0.8148442953824997,0.0,80-85%
2025-01-06,55387,Lorenzo Sonego,Gabriel Diallo,,0.0,False,P1,0.5345471501350403,0.4654528498649597,1.98,1.91,0.0,964.034849585819,0.5345471501350403,1.0,50-55%
2025-01-06,55360,Marcos Giron,Aleksandar Vukic,,0.0,False,P1,0.4995836913585663,0.5004163086414337,1.99,1.9,0.0,964.034849585819,0.5004163086414337,0.0,50-55%
2025-01-06,55361,Miomir Kecmanovic,Alexander Bublik,P2,5.120977679018717,False,P1,0.5101717263460159,0.489828273653984,1.67,2.33,-5.120977679018717,958.9138719068004,0.5101717263460159,1.0,50-55%
